市町村コード,都道府県名及び市町村名,NO,施設・場所名,住所,洪水,崖崩れ、土石流及び地滑り,高潮,地震,津波,大規模な火事,内水氾濫,火山現象,指定避難所との住所同一,緯度,経度,備考
43100,熊本県熊本市,52,碩台小学校,熊本県熊本市中央区井川淵町4-8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.809114,130.718431,
43100,熊本県熊本市,53,花畑広場,熊本県熊本市中央区花畑町7-10,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.79954,130.704676,
43100,熊本県熊本市,54,京陵中学校,熊本県熊本市中央区京町本丁1-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.81728,130.704112,
43100,熊本県熊本市,55,熊本大学附属小・中学校,熊本県熊本市中央区京町本丁5-12,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.81789,130.704457,
43100,熊本県熊本市,56,春竹小学校,熊本県熊本市中央区琴平1-9-43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.78826447,130.7075609,
43100,熊本県熊本市,57,江原中学校,熊本県熊本市中央区琴平2-9-59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.784347,130.70534,
43100,熊本県熊本市,58,ゆめマート九品寺,熊本県熊本市中央区九品寺3-17-17,,1.0,1.0,1.0,1.0,,1.0,1.0,,32.792347,130.716188,
43100,熊本県熊本市,59,熊本大学本荘体育館,熊本県熊本市中央区九品寺4-24-1,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,32.793042,130.713765,
43100,熊本県熊本市,60,長六橋上・下流左岸,熊本県熊本市中央区迎町1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.793877,130.702732,
43100,熊本県熊本市,61,第一高校,熊本県熊本市中央区古城町3-1,,,1.0,1.0,1.0,1.0,1.0,1.0,,32.800929,130.700024,
43100,熊本県熊本市,62,熊本国府高校,熊本県熊本市中央区国府2-15-1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.787735,130.728165,
43100,熊本県熊本市,63,子飼橋上流右岸,熊本県熊本市中央区黒髪2,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.81121293,130.725341,
43100,熊本県熊本市,64,黒髪小学校,熊本県熊本市中央区黒髪2-2-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.814575,130.720253,
43100,熊本県熊本市,65,済々黌高校,熊本県熊本市中央区黒髪2-22-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.817782,130.722946,
43100,熊本県熊本市,66,熊本大学黒髪運動場・黒髪体育館,熊本県熊本市中央区黒髪2-39-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.816174,130.725568,
43100,熊本県熊本市,67,サンライフ熊本,熊本県熊本市中央区黒髪3-3-12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.81983876,130.720156,
43100,熊本県熊本市,68,桜山中学校,熊本県熊本市中央区黒髪5-13-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.816408,130.731902,
43100,熊本県熊本市,69,五福小学校,熊本県熊本市中央区細工町2-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.795878,130.695933,
43100,熊本県熊本市,70,五福交流室・公民館,熊本県熊本市中央区細工町2-25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.79594238,130.6956943,
43100,熊本県熊本市,71,ゆめマート帯山,熊本県熊本市中央区三郎1-1-3,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.800588,130.755277,
43100,熊本県熊本市,72,出水小学校,熊本県熊本市中央区出水1-1-75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.789046,130.731203,
43100,熊本県熊本市,73,熊本市総合体育館・青年会館,熊本県熊本市中央区出水2-7-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.785117,130.736607,
43100,熊本県熊本市,74,出水南小学校,熊本県熊本市中央区出水4-1-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.783234,130.7306183,
43100,熊本県熊本市,75,湧心館高校,熊本県熊本市中央区出水4-1-2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,32.77464589,130.7399497,
43100,熊本県熊本市,76,ゆめマートえづ,熊本県熊本市中央区出水4-39-28,,1.0,,1.0,1.0,1.0,1.0,1.0,,32.778582,130.73081,
43100,熊本県熊本市,77,出水中学校,熊本県熊本市中央区出水5-3-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.784081,130.726848,
